pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-24 e,Kepler-24,2014.0,2.78,18.998355,0.138,5897.0,0
Kepler-240 b,Kepler-240,2014.0,1.37,4.144495,0.048,4985.0,0
Kepler-240 c,Kepler-240,2014.0,2.2,7.953528,0.074,4985.0,0
Kepler-241 b,Kepler-241,2014.0,2.33,12.718092,0.094,4699.0,0
Kepler-241 c,Kepler-241,2014.0,2.57,36.065978,0.189,4699.0,0
Kepler-242 b,Kepler-242,2014.0,2.61,8.20395,0.075,5020.0,0
Kepler-242 c,Kepler-242,2014.0,2.0,14.496481,0.109,5020.0,0
Kepler-243 b,Kepler-243,2014.0,2.45,5.715442,0.062,5228.0,0
Kepler-243 c,Kepler-243,2014.0,1.99,20.026218,0.142,5228.0,0
Kepler-244 b,Kepler-244,2014.0,2.76,4.311792,0.05,5554.0,0
Kepler-244 c,Kepler-244,2014.0,2.05,9.767292,0.087,5554.0,0
Kepler-244 d,Kepler-244,2014.0,2.31,20.050401,0.14,5554.0,0
Kepler-245 b,Kepler-245,2014.0,2.57,7.49019,0.071,5100.0,0
Kepler-245 c,Kepler-245,2014.0,2.18,17.460812,0.124,5100.0,0
Kepler-245 d,Kepler-245,2014.0,3.03,36.277108,0.202,5100.0,0
Kepler-246 b,Kepler-246,2014.0,2.34,4.60182,0.052,5206.0,0
Kepler-246 c,Kepler-246,2014.0,1.5,11.187161,0.095,5206.0,0
